root - 15-Dec-19 13:28:32 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16881205.xml
root - 15-Dec-19 13:28:38 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16890516.xml
root - 15-Dec-19 13:29:08 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16890703.xml
root - 15-Dec-19 13:29:24 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16890828.xml
root - 15-Dec-19 13:29:32 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16891009.xml
root - 15-Dec-19 13:29:45 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16891211.xml
root - 15-Dec-19 13:30:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900115.xml
root - 15-Dec-19 13:30:10 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900226.xml
root - 15-Dec-19 13:30:22 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900430.xml
root - 15-Dec-19 13:30:39 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900605.xml
root - 15-Dec-19 13:30:46 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900717.xml
root - 15-Dec-19 13:30:55 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16900903.xml
root - 15-Dec-19 13:31:10 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16901015.xml
root - 15-Dec-19 13:31:24 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16901210.xml
root - 15-Dec-19 13:31:41 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910115.xml
root - 15-Dec-19 13:31:50 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910218.xml
root - 15-Dec-19 13:32:02 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910422.xml
root - 15-Dec-19 13:32:17 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910527.xml
root - 15-Dec-19 13:32:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910708.xml
root - 15-Dec-19 13:32:36 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16910909.xml
root - 15-Dec-19 13:32:51 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16911209.xml
root - 15-Dec-19 13:33:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16920115.xml
root - 15-Dec-19 13:33:11 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16920406.xml
root - 15-Dec-19 13:33:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16920629.xml
root - 15-Dec-19 13:33:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16920831.xml
root - 15-Dec-19 13:33:40 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16921012.xml
root - 15-Dec-19 13:33:54 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16921207.xml
root - 15-Dec-19 13:34:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16930116.xml
root - 15-Dec-19 13:34:29 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16930426.xml
root - 15-Dec-19 13:34:51 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16930531.xml
root - 15-Dec-19 13:35:06 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16930713.xml
root - 15-Dec-19 13:35:21 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16930906.xml
root - 15-Dec-19 13:35:41 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16931012.xml
root - 15-Dec-19 13:36:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16931206.xml
root - 15-Dec-19 13:36:16 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16940221.xml
root - 15-Dec-19 13:36:31 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16940418.xml
root - 15-Dec-19 13:36:42 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16940524.xml
root - 15-Dec-19 13:36:57 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16940711.xml
root - 15-Dec-19 13:37:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16940830.xml
root - 15-Dec-19 13:37:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16941010.xml
root - 15-Dec-19 13:37:39 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16950220.xml
root - 15-Dec-19 13:37:49 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16950403.xml
root - 15-Dec-19 13:37:58 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16950508.xml
root - 15-Dec-19 13:38:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16950703.xml
root - 15-Dec-19 13:38:22 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16950828.xml
root - 15-Dec-19 13:38:48 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16951014.xml
root - 15-Dec-19 13:39:01 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16951203.xml
root - 15-Dec-19 13:39:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16960227.xml
root - 15-Dec-19 13:39:30 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16960708.xml
root - 15-Dec-19 13:39:45 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16960909.xml
root - 15-Dec-19 13:40:04 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16961014.xml
root - 15-Dec-19 13:40:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16961209.xml
root - 15-Dec-19 13:40:42 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16970224.xml
root - 15-Dec-19 13:41:00 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16970519.xml
root - 15-Dec-19 13:41:15 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16970707.xml
root - 15-Dec-19 13:41:32 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16970901.xml
root - 15-Dec-19 13:41:51 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16971208.xml
root - 15-Dec-19 13:42:07 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16980114.xml
root - 15-Dec-19 13:42:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16980223.xml
root - 15-Dec-19 13:42:44 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16980504.xml
root - 15-Dec-19 13:43:06 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16980608.xml
root - 15-Dec-19 13:43:26 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16980720.xml
root - 15-Dec-19 13:43:44 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16990524.xml
root - 15-Dec-19 13:43:59 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16991011.xml
root - 15-Dec-19 13:44:14 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16991213.xml
root - 15-Dec-19 13:44:36 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\16991213A.xml
root - 15-Dec-19 13:44:37 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17000115.xml
root - 15-Dec-19 13:44:54 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17000828.xml
root - 15-Dec-19 13:45:12 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17020114.xml
root - 15-Dec-19 13:45:25 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17021014.xml
root - 15-Dec-19 13:45:33 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17030115.xml
root - 15-Dec-19 13:45:45 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17030707.xml
root - 15-Dec-19 13:45:47 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17031013.xml
root - 15-Dec-19 13:45:54 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17040308.xml
root - 15-Dec-19 13:46:03 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17040426.xml
root - 15-Dec-19 13:46:17 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17040601.xml
root - 15-Dec-19 13:46:27 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17061206.xml
root - 15-Dec-19 13:46:27 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17070115.xml
root - 15-Dec-19 13:46:35 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17070423.xml
root - 15-Dec-19 13:46:47 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17070903.xml
root - 15-Dec-19 13:46:55 - INFO - XML file being interpreted is C:/projects/oboredo/OBO_XML_72/sessionsPapers\17071015.xml
