root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17050207.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17050309.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17050504.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17060515.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17060719.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17061025.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17061213.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070124.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070502.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070606.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070718.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070912.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17070912A.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17071024.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17071217.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17080128.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17080303a.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17080303b.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17080428.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17080924.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17081027.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17081217.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17090323.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17090518.xml
root - 30-Jun-22 20:33:38 - INFO - got into files with ./ordinarysAccounts\OA17090624.xml
